library,name,tags
lucide-lab,burger,hamburger|cheeseburger|meat|patty|bun|fast_food|junk_food|takeaway|takeout|snack|dish|restaurant|lunch|meal|savory|savoury|cookery|cooking|grilled|barbecue|barbeque|bbq|food-beverage
lucide-lab,butterfly,wings|flying|wildlife|botanical_gardens|nectar|pollen|pollinate|pattern|insect|antennae|animals
lucide-lab,cabin,hut|shed|property|real_estate|dwellings|living|door|woods|forest|winter_holiday|alpine|wilderness|outdoors|buildings|travel|home
lucide-lab,cabinet-filing,nightstand|bedside_table|drawers|documents|binders|folders|records|storage|archive|office|furniture|files
lucide-lab,cactus,spikes|spines|needles|glochid|plant|desert|botanical|flora|nature|maps
lucide-lab,candle-holder-lit,handle|wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|melting|burning|flame|fire|alight|lighting|daytime|mode|theme|toggle|css|home|sustainability|design|development
lucide-lab,candle-holder,handle|wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|darkness|night|mode|theme|toggle|css|home|sustainability|design|development
lucide-lab,candle-tealight-lit,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|melting|burning|flame|fire|alight|lighting|daytime|mode|theme|toggle|css|home|sustainability|design|development
lucide-lab,candle-tealight,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|melting|burning|flame|fire|alight|lighting|mode|theme|toggle|css|home|sustainability|design|development
lucide-lab,candlestick-big-lit,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|melting|burning|flame|fire|alight|lighting|daytime|mode|theme|toggle|css|home|sustainability|design|development
lucide-lab,candlestick-big,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|birthday_cake|power_cut|outage|melting|burning|flame|fire|alight|lighting|mode|theme|toggle|css|home|sustainability|design|development
lucide-lab,candlestick-lit,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|melting|burning|flame|fire|alight|lighting|daytime|mode|theme|toggle|css|home|sustainability|design|development
lucide-lab,candlestick,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|birthday_cake|power_cut|outage|darkness|night|mode|theme|toggle|css|home|sustainability|design|development
lucide-lab,card-credit,atm|cash_machine|cash_point|withdrawal|debit|visa|mastercard|bank|finance|financial|spending|budget|purchase|payment|cc|shopping|retail|store|mall|consumer|loyalty|points|cashback|transaction|account|money
lucide-lab,card-sd,smartphone|mobile|disk|data|backup|save|read|write|rw|storage|extra|capacity|megabytes|mb|gigabytes|gb|format|flash|drive|digital|camera|photos|pictures|images|raw|photography|files|multimedia|devices
lucide-lab,card-sim,cellphone|smartphone|mobile|network|cellular|service|provider|signal|coverage|disk|data|format|storage|flash|digital|contacts|phone_book|contractual|circuit_board|chip|connectivity|communication|multimedia|devices
lucide-lab,carton-off,milk|dairy|drink|diet|lactose_free|liquid|litres|pints|pasturised|skimmed|container|vegan|food-beverage
lucide-lab,carton,milk|dairy|drink|diet|lactose|liquid|litres|pints|pasturised|skimmed|container|cow|food-beverage
lucide-lab,case-camel,text|letters|characters|font|typography|ab|string|code|text|development
lucide-lab,case-kebab,text|letters|characters|font|typography|dash|a-b|ab|string|code|text|development
lucide-lab,case-snake-upper,text|letters|capitals|caps|characters|font|typography|underscore|ab|constant|string|code|text|development
lucide-lab,case-snake,text|letters|characters|font|typography|underscore|ab|string|code|text|development
lucide-lab,cat-big,tiger|lion|leopard|panther|zoo|safari_park|savannah|wildlife|mammal|carnivore|predator|pride|feline|ferocious|roar|animals
lucide-lab,cauldron,pot|boiling|heat|hot|soup|potion|brewing|bubbles|spell|curse|witches|wizard|druid|halloween|gaming|food-beverage
lucide-lab,cent-circle,finance|financial|markets|exchange|trader|trading|transaction|payment|coin|cents|dollar|usd|currency|money|shapes
lucide-lab,cent-square,finance|financial|markets|exchange|trader|trading|transaction|payment|cents|dollar|usd|toolbar|button|currency|money|shapes
lucide-lab,cent,finance|financial|markets|exchange|trader|trading|transaction|payment|symbol|cents|dollar|usd|currency|money
lucide-lab,chairs-table-parasol,terrace|balcony|patio|umbrella|shade|seating|garden|outdoor|al_fresco|dining|furniture|home|travel
lucide-lab,chairs-table-platter,restaurant|seating|table_service|waiter|waitress|served|dinner|dining|meal|courses|luxury|food-beverage|furniture|home|travel|maps
lucide-lab,chameleon,camouflage|colors|colours|multicolor|multicolour|lizard|reptile|wildlife|animals
lucide-lab,cheese,swiss|holes|fondue|emmental|gouda|edam|cheddar|brie|mozzarella|feta|halloumi|gorgonzola|roquefort|camembert|dairy|snack|dish|restaurant|lunch|meal|savory|savoury|cookery|cooking|grilled|food-beverage
lucide-lab,chest,trunk|treasure|loot|gold|toybox|toolbox|tool_chest|storage|container|tools|gaming
lucide-lab,chevrons-left-right-square,gist|source|programming|html|xml|code|coding|text|development
lucide-lab,chevrons-up-down-square,elevator|lift|floors|levels|hotel|accommodation|expand|unfold|vertical|toolbar|button|buildings|travel|arrows|shapes
lucide-lab,cloth,thread|sewing|stitch|embroidery|waeve|woven|fabric|material|textile|upholstery|cleaning|home|shopping|furniture
lucide-lab,coat-hanger,clothes|clothing|apparel|attire|wardrobe|dry_cleaning|amenities|home|furniture|travel|maps
lucide-lab,cocktail,martini|alcohol|spirits|drink|glass|straw|citrus|orange|lemon|lime|bar|lounge|party|nightclub|nightlife|food-beverage|social
